地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,醫療保健經費支出-政府總(決)算(單位:千元),,113196910.205,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_一般行政,242143.302,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_防疫,111228.766,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_保健,140548.441,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_醫政,634632.968,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_藥物食品,28785.254,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_環境衛生,0,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_衛生檢驗,14182.392,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_教育宣導,43658.769,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_一般衛生業務-其他,0,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_土地購買及改良,0,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,醫療保健經費支出-衛生經費決算(單位:千元),衛生局_建築,46733.305,2015-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
